'RS', 'Pelotas - RS', '187.86.130.145', 'Uberlandia - MG', '179.96.53.1', 1948.59, 19, 16, 13
'RS', 'Pelotas - RS', '187.86.130.145', 'Rio de Janeiro - RJ', '200.218.239.30', 1829.84, 18, 5, 5
'RS', 'Pelotas - RS', '187.86.130.145', 'Uberaba - MG', '201.62.48.1', 1840.11, 18, 5, 5
'RS', 'Pelotas - RS', '187.86.130.145', 'Ipanema - MG', '179.107.112.1', 2223.63, 22, 50, 255
'RS', 'Pelotas - RS', '187.86.130.145', 'Serra - ES', '201.71.200.5', 2356.06, 24, 19, 6
'RS', 'Pelotas - RS', '187.86.130.145', 'Aparecida do Taboado - MS', '179.109.64.99', 1842.01, 18, 6, 5
'RS', 'Pelotas - RS', '187.86.130.145', 'Eldorado - MS', '131.221.124.17', 1136.43, 11, 14, 5
'RS', 'Pelotas - RS', '187.86.130.145', 'Vila Rica - MT', '45.168.220.41', 3194.56, 32, 6, 5
'RS', 'Pelotas - RS', '187.86.130.145', 'Campo Novo do Parecis - MT', '45.7.13.1', 2679.91, 27, 21, 7
'RS', 'Pelotas - RS', '187.86.130.145', 'Anapolis - GO', '177.75.48.129', 2311.75, 23, 1, 4
'RS', 'Pelotas - RS', '187.86.130.145', 'Aparecida de Goiania - GO', '45.70.41.1', 2240.7, 22, 23, 9
'RS', 'Pelotas - RS', '187.86.130.145', 'Brasilia - DF', '45.164.243.225', 2364.13, 24, 2, 4
'RS', 'Pelotas - RS', '187.86.130.145', 'Uberlandia - MG', '179.96.34.65', 1948.59, 19, 7, 12
'RS', 'Pelotas - RS', '187.86.130.145', 'Salvador - BA', '170.84.39.225', 3363.51, 34, 13, 5
'RS', 'Pelotas - RS', '187.86.130.145', 'Salvador - BA', '201.157.194.69', 3363.51, 34, 13, 18
'RS', 'Pelotas - RS', '187.86.130.145', 'Aracaju - SE', '170.81.184.1', 3558.14, 36, 28, 11
'RS', 'Pelotas - RS', '187.86.130.145', 'Sao Paulo - SP', '179.96.111.1', 1379.82, 14, 10, 13
'RS', 'Pelotas - RS', '187.86.130.145', 'Arapiraca - AL', '186.235.128.222', 3718.73, 37, 2, 4
'RS', 'Pelotas - RS', '187.86.130.145', 'Craibas - AL', '179.127.79.254', 3751.72, 38, 304, 23
'RS', 'Pelotas - RS', '187.86.130.145', 'Jaboatao dos Guararapes - PE', '201.76.105.1', 4027.82, 40, 60, 5
'RS', 'Pelotas - RS', '187.86.130.145', 'Camaragibe - PE', '168.195.180.33', 4047.11, 40, 22, 7
'RS', 'Pelotas - RS', '187.86.130.145', 'Campina Grande - PB', '130.185.238.1', 4053.18, 41, 15, 5
'RS', 'Pelotas - RS', '187.86.130.145', 'Campina Grande - PB', '45.179.88.1', 4053.18, 41, 13, 5
'RS', 'Pelotas - RS', '187.86.130.145', 'Caico - RN', '201.158.24.5', 4107.31, 41, 30, 6
'RS', 'Pelotas - RS', '187.86.130.145', 'Pedra Lavrada - PB', '177.8.177.1', 4033.67, 40, 10, 6
'RS', 'Pelotas - RS', '187.86.130.145', 'Frecheirinha - CE', '132.255.80.201', 4306.15, 43, 25, 6
'RS', 'Pelotas - RS', '187.86.130.145', 'Fortaleza - CE', '200.25.36.66', 4447.57, 44, 6, 5
'RS', 'Pelotas - RS', '187.86.130.145', 'Teresina - PI', '168.90.89.225', 4014.17, 40, 5, 5
'RS', 'Pelotas - RS', '187.86.130.145', 'Novo Oriente do Piaui - PI', '177.66.116.1', 3930.1, 39, 26, 6
'RS', 'Pelotas - RS', '187.86.130.145', 'Imperatriz - MA', '186.193.182.121', 3644.79, 36, 26, 6
'RS', 'Pelotas - RS', '187.86.130.145', 'Sao Luis - MA', '200.108.164.28', 4266.39, 43, 10, 6
'RS', 'Pelotas - RS', '187.86.130.145', 'Palmas - TO', '179.124.132.77', 3171.04, 32, 6, 5
'RS', 'Pelotas - RS', '187.86.130.145', 'Santa Fe do Araguaia - TO', '138.255.40.25', 3464.62, 35, 24, 8
'RS', 'Pelotas - RS', '187.86.130.145', 'Canaa Dos Carajas - PA', '132.255.230.25', 3660.55, 37, 24, 5
'RS', 'Pelotas - RS', '187.86.130.145', 'Redencao - PA', '177.36.241.33', 3433.31, 34, 1, 4
'RS', 'Pelotas - RS', '187.86.130.145', 'Macapa - AP', '186.216.165.254', 4736.41, 47, 45, 11
'RS', 'Pelotas - RS', '187.86.130.145', 'Boa Vista - RR', '45.160.184.1', 5409.76, 54, 201, 17
'RS', 'Pelotas - RS', '187.86.130.145', 'Sao Paulo - SP', '179.96.123.81', 1379.82, 14, 7, 13
'RS', 'Pelotas - RS', '187.86.130.145', 'Manaus - AM', '45.236.220.201', 4627.39, 46, 380, 18
'RS', 'Pelotas - RS', '187.86.130.145', 'Ouro Preto do Oeste - RO', '191.37.216.1', 3407.22, 34, 29, 7
'RS', 'Pelotas - RS', '187.86.130.145', 'Cacoal - RO', '177.22.96.225', 3260.98, 33, 23, 7
'SC', 'Sao Ludgero - SC', '177.126.23.190', 'Pelotas - RS', '177.72.192.17', 584.59, 6, 13, 6
'SC', 'Sao Ludgero - SC', '177.126.23.190', 'Pelotas - RS', '187.86.130.145', 584.59, 6, 11, 6
'SC', 'Sao Ludgero - SC', '177.126.23.190', 'Florianopolis - SC', '187.49.226.62', 179.2, 2, 12, 5
'SC', 'Sao Ludgero - SC', '177.126.23.190', 'Ponta Grossa - PR', '179.189.16.1', 571.46, 6, 424, 5
'SC', 'Sao Ludgero - SC', '177.126.23.190', 'Curitiba - PR', '200.192.248.61', 457.99, 5, 17, 15
'SC', 'Sao Ludgero - SC', '177.126.23.190', 'Mococa - SP', '187.49.218.17', 1085.91, 11, 14, 21
'SC', 'Sao Ludgero - SC', '177.126.23.190', 'Passo da Areia - RS', '168.196.188.1', 326.99, 3, 5, 5
'SC', 'Sao Ludgero - SC', '177.126.23.190', 'Uberlandia - MG', '179.96.53.1', 1415.01, 14, 101, 14
'SC', 'Sao Ludgero - SC', '177.126.23.190', 'Rio de Janeiro - RJ', '200.218.239.30', 1296.26, 13, 5, 5
'SC', 'Sao Ludgero - SC', '177.126.23.190', 'Uberaba - MG', '201.62.48.1', 1306.52, 13, 5, 5
'SC', 'Sao Ludgero - SC', '177.126.23.190', 'Ipanema - MG', '179.107.112.1', 1690.05, 17, 37, 255
'SC', 'Sao Ludgero - SC', '177.126.23.190', 'Serra - ES', '201.71.200.5', 1822.47, 18, 14, 6
